NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
http://www.sports-reference.com/cfb/players/erik-olson-1.html,1999,Colorado State,MWC,,DB,9.0,,,,,,,,,,,,,,,,,,6.0,93.0,15.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/erik-olson-1.html,Career,Colorado State,,,,,,,,,,,,,,,,,,,,,,11.0,148.0,13.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/danny-clark-2.html,1997,Illinois,Big Ten,,LB,11.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/danny-clark-2.html,1998,Illinois,Big Ten,,LB,11.0,,,,,,,,,,,,,,,,,,2.0,24.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/danny-clark-2.html,*1999,Illinois,Big Ten,,LB,12.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/danny-clark-2.html,Career,Illinois,,,,,,,,,,,,,,,,,,,,,,4.0,24.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/john-henderson-1.html,2000,Tennessee,SEC,JR,DL,11.0,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
http://www.sports-reference.com/cfb/players/john-henderson-1.html,2001,Tennessee,SEC,SR,DL,12.0,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
http://www.sports-reference.com/cfb/players/john-henderson-1.html,*2003,Tennessee,SEC,JR,P,13.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,39.0,39.0,0.0,0.0,,0.0,0.0,,0.0
http://www.sports-reference.com/cfb/players/john-henderson-1.html,Career,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,0.0,,,,,,,,,,,,,,,,,,,1.0,39.0,39.0,0.0,0.0,,0.0,0.0,,0.0
http://www.sports-reference.com/cfb/players/ingle-martin-1.html,*2002,Florida,SEC,FR,QB,12.0,2.0,14.0,7.0,0.0,11.0,51.0,4.6,0.0,13.0,65.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,70.0,96.0,9.6,9.6,0.0,0.0,150.6,46.0,1619.0,35.2,,,,,,,
http://www.sports-reference.com/cfb/players/ingle-martin-1.html,*2003,Florida,SEC,SO,QB,4.0,,,,,14.0,19.0,1.4,0.0,14.0,19.0,1.4,0.0,,,,,,,,,,,,,,,,,,,,,,,47.0,77.0,61.0,654.0,8.5,8.1,3.0,2.0,140.0,,,,,,,,,,
http://www.sports-reference.com/cfb/players/ingle-martin-1.html,Career,Florida,,,,,2.0,14.0,7.0,0.0,25.0,70.0,2.8,0.0,27.0,84.0,3.1,0.0,,,,,,,,,,,,,,,,,,,,,,,54.0,87.0,62.1,750.0,8.6,8.3,3.0,2.0,141.3,46.0,1619.0,35.2,,,,,,,
http://www.sports-reference.com/cfb/players/anthony-castonzo-1.html,*2007,Boston College,ACC,FR,OL,13.0,,,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/anthony-castonzo-1.html,*2009,Boston College,ACC,JR,OL,13.0,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/anthony-castonzo-1.html,Career,Boston College,,,,,,,,,,,,,,,,,2.0,1.0,3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/stephen-schilling-1.html,*2007,Michigan,Big Ten,SO,OL,13.0,,,,,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/stephen-schilling-1.html,2009,Michigan,Big Ten,JR,OL,11.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/stephen-schilling-1.html,*2010,Michigan,Big Ten,SR,OL,13.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/stephen-schilling-1.html,Career,Michigan,,,,,0.0,0.0,,0.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/lane-johnson-1.html,*2011,Oklahoma,Big 12,JR,OL,13.0,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/lane-johnson-1.html,Career,Oklahoma,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/dj-fluker-1.html,*2011,Alabama,SEC,SO,OL,13.0,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/dj-fluker-1.html,Career,Alabama,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/larry-warford-1.html,2011,Kentucky,SEC,JR,OL,12.0,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/larry-warford-1.html,Career,Kentucky,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/tyrann-mathieu-1.html,*2010,LSU,SEC,FR,DB,13.0,,,,,,,,,,,,,34.0,23.0,57.0,8.5,4.5,2.0,0.0,0.0,0.0,7.0,3.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/tyrann-mathieu-1.html,*2011,LSU,SEC,SO,DB,13.0,,,,,,,,,,,,,59.0,17.0,76.0,7.5,1.5,2.0,16.0,8.0,0.0,9.0,5.0,26.0,2.0,6.0,27.0,421.0,15.6,2.0,,,,,,,,,,,,,,,,,,,,,,,
