NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/nick-novak-1.html,*2002,Maryland,ACC,SO,K,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,54.0,98.1,24.0,28.0,85.7,125.0
https://www.sports-reference.com/cfb/players/nick-novak-1.html,*2003,Maryland,ACC,JR,K,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,42.0,90.5,24.0,32.0,75.0,110.0
https://www.sports-reference.com/cfb/players/nick-novak-1.html,2004,Maryland,ACC,SR,K,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,21.0,100.0,16.0,22.0,72.7,69.0
https://www.sports-reference.com/cfb/players/nick-novak-1.html,Career,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,159.0,96.2,80.0,107.0,74.8,393.0
https://www.sports-reference.com/cfb/players/mike-nugent-1.html,2001,Ohio State,Big Ten,FR,K,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,25.0,92.0,7.0,14.0,50.0,44.0
https://www.sports-reference.com/cfb/players/mike-nugent-1.html,*2002,Ohio State,Big Ten,SO,K,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,46.0,97.8,25.0,28.0,89.3,120.0
https://www.sports-reference.com/cfb/players/mike-nugent-1.html,*2003,Ohio State,Big Ten,JR,K,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,38.0,100.0,16.0,19.0,84.2,86.0
https://www.sports-reference.com/cfb/players/mike-nugent-1.html,*2004,Ohio State,Big Ten,SR,K,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,100.0,24.0,27.0,88.9,102.0
https://www.sports-reference.com/cfb/players/mike-nugent-1.html,Career,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,139.0,97.8,72.0,88.0,81.8,352.0
https://www.sports-reference.com/cfb/players/dan-orlovsky-1.html,2001,Connecticut,Ind,,QB,10.0,,,,,,,,,,,,,,,,,,,,,,,128.0,269.0,47.6,1379.0,5.1,4.0,9.0,11.0,93.5,31.0,-117.0,-3.8,2.0,,,,,31.0,-117.0,-3.8,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dan-orlovsky-1.html,2002,Connecticut,Ind,SO,QB,12.0,,,,,,,,,,,,,,,,,,,,,,,221.0,366.0,60.4,2488.0,6.8,6.5,19.0,11.0,128.6,50.0,-86.0,-1.7,4.0,,,,,50.0,-86.0,-1.7,4.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dan-orlovsky-1.html,2003,Connecticut,Ind,JR,QB,12.0,,,,,,,,,,,,,,,,,,,,,,,279.0,475.0,58.7,3485.0,7.3,7.4,33.0,14.0,137.4,30.0,-41.0,-1.4,0.0,,,,,30.0,-41.0,-1.4,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dan-orlovsky-1.html,*2004,Connecticut,Big East,SR,QB,12.0,,,,,,,,,,,,,,,,,,,,,,,288.0,457.0,63.0,3354.0,7.3,6.9,23.0,15.0,134.7,32.0,-41.0,-1.3,0.0,,,,,32.0,-41.0,-1.3,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dan-orlovsky-1.html,Career,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,916.0,1567.0,58.5,10706.0,6.8,6.4,84.0,51.0,127.0,143.0,-285.0,-2.0,6.0,,,,,143.0,-285.0,-2.0,6.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kyle-orton-1.html,*2001,Purdue,Big Ten,FR,QB,7.0,,,,,,,,,,,,,,,,,,,,,,,107.0,216.0,49.5,1105.0,5.1,4.0,4.0,7.0,92.1,36.0,-80.0,-2.2,0.0,,,,,36.0,-80.0,-2.2,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kyle-orton-1.html,*2002,Purdue,Big Ten,SO,QB,13.0,,,,,,,,,,,,,,,,,,,,,,,192.0,317.0,60.6,2257.0,7.1,6.7,13.0,9.0,128.2,43.0,47.0,1.1,0.0,,,,,43.0,47.0,1.1,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kyle-orton-1.html,*2003,Purdue,Big Ten,JR,QB,13.0,,,,,,,,,,,,,,,,,,,,,,,251.0,414.0,60.6,2885.0,7.0,6.9,15.0,7.0,127.7,112.0,237.0,2.1,3.0,,,,,112.0,237.0,2.1,3.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kyle-orton-1.html,*2004,Purdue,Big Ten,SR,QB,11.0,,,,,,,,,,,,,,,,,,,,,,,236.0,389.0,60.7,3090.0,7.9,9.0,31.0,5.0,151.1,80.0,112.0,1.4,3.0,,,,,80.0,112.0,1.4,3.0,1.0,20.0,20.0,,,,,,,
https://www.sports-reference.com/cfb/players/kyle-orton-1.html,Career,Purdue,,,,,,,,,,,,,,,,,,,,,,,,,,,786.0,1336.0,58.8,9337.0,7.0,7.0,63.0,28.0,128.9,271.0,316.0,1.2,6.0,,,,,271.0,316.0,1.2,6.0,1.0,20.0,20.0,,,,,,,
https://www.sports-reference.com/cfb/players/chad-owens-1.html,2001,Hawaii,WAC,FR,WR,10.0,,,,,,,,,,,,,,,,,,,24.0,807.0,33.6,2.0,,,,,,,,,,3.0,51.0,17.0,1.0,5.0,57.0,11.4,1.0,8.0,108.0,13.5,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chad-owens-1.html,*2002,Hawaii,WAC,SO,WR,10.0,,,,,,,,,,,,,,,17.0,131.0,7.7,0.0,19.0,477.0,25.1,0.0,,,,,,,,,,3.0,5.0,1.7,0.0,47.0,550.0,11.7,2.0,50.0,555.0,11.1,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chad-owens-1.html,*2003,Hawaii,WAC,JR,WR,11.0,,,,,,,,,,,,,,,14.0,136.0,9.7,0.0,,,,,,,,,,,,,,2.0,6.0,3.0,0.0,85.0,1134.0,13.3,9.0,87.0,1140.0,13.1,9.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chad-owens-1.html,*2004,Hawaii,WAC,SR,WR,13.0,,,,,,,,,,,,,,,36.0,531.0,14.8,5.0,2.0,45.0,22.5,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,102.0,1290.0,12.6,17.0,103.0,1290.0,12.5,17.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/chad-owens-1.html,Career,Hawaii,,,,,,,,,,,,,,,,,,,67.0,798.0,11.9,5.0,45.0,1329.0,29.5,2.0,,,,,,,,,,9.0,62.0,6.9,1.0,239.0,3031.0,12.7,29.0,248.0,3093.0,12.5,30.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/roscoe-parrish-1.html,*2002,Miami (FL),Big East,FR,WR,13.0,,,,,,,,,,,,,,,27.0,392.0,14.5,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,69.0,17.3,1.0,19.0,340.0,17.9,2.0,23.0,409.0,17.8,3.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/roscoe-parrish-1.html,*2003,Miami (FL),Big East,SO,WR,11.0,,,,,,,,,,,,,,,23.0,240.0,10.4,1.0,1.0,18.0,18.0,0.0,,,,,,,,,,6.0,57.0,9.5,0.0,24.0,322.0,13.4,2.0,30.0,379.0,12.6,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/roscoe-parrish-1.html,*2004,Miami (FL),ACC,JR,WR,12.0,,,,,,,,,,,,,,,20.0,324.0,16.2,2.0,,,,,,,,,,,,,,9.0,60.0,6.7,0.0,43.0,693.0,16.1,8.0,52.0,753.0,14.5,8.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/roscoe-parrish-1.html,Career,Miami (FL),,,,,,,,,,,,,,,,,,,70.0,956.0,13.7,3.0,2.0,17.0,8.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,186.0,9.8,1.0,86.0,1355.0,15.8,12.0,105.0,1541.0,14.7,13.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mike-patterson-1.html,*2002,USC,Pac-10,SO,DL,13.0,,,,,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mike-patterson-1.html,*2003,USC,Pac-10,JR,DL,13.0,,,,,,,,,,,2.0,68.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mike-patterson-1.html,Career,USC,,,,,,,,,,,,,,,3.0,71.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/karl-paymah-1.html,*2001,Washington State,Pac-10,SO,DB,12.0,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/karl-paymah-1.html,*2003,Washington State,Pac-10,JR,DB,13.0,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
