NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Punts,Punt_Yds,Punt_Avg
https://www.sports-reference.com/cfb/players/keith-ismael-1.html,Career,San Diego State,,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cordel-iwuagwu-1.html,*2015,Texas Christian,Big 12,FR,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cordel-iwuagwu-1.html,2019,Texas Christian,Big 12,SR,G,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cordel-iwuagwu-1.html,Career,Texas Christian,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/austin-jackson-2.html,*2017,USC,Pac-12,FR,T,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/austin-jackson-2.html,*2019,USC,Pac-12,JR,OL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/austin-jackson-2.html,Career,USC,,,,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dane-jackson-1.html,*2015,Pitt,ACC,FR,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dane-jackson-1.html,*2016,Pitt,ACC,FR,DB,8.0,9.0,9.0,18.0,0.0,0.0,1.0,20.0,20.0,1.0,4.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dane-jackson-1.html,2017,Pitt,ACC,SO,DB,12.0,36.0,5.0,41.0,2.0,1.0,2.0,26.0,13.0,0.0,9.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dane-jackson-1.html,*2018,Pitt,ACC,JR,DB,13.0,38.0,9.0,47.0,4.0,0.0,0.0,0.0,,0.0,14.0,2.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dane-jackson-1.html,*2019,Pitt,ACC,SR,DB,13.0,30.0,13.0,43.0,3.0,0.5,1.0,21.0,21.0,0.0,12.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dane-jackson-1.html,Career,Pitt,,,,,113.0,36.0,149.0,9.0,1.5,4.0,67.0,16.8,1.0,39.0,2.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jonah-jackson-1.html,2015,Rutgers,Big Ten,FR,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jonah-jackson-1.html,2018,Rutgers,Big Ten,JR,OL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jonah-jackson-1.html,Career,Rutgers,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lamar-jackson-2.html,*2016,Nebraska,Big Ten,FR,DB,5.0,14.0,3.0,17.0,2.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lamar-jackson-2.html,2017,Nebraska,Big Ten,SO,DB,11.0,27.0,11.0,38.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lamar-jackson-2.html,2018,Nebraska,Big Ten,JR,DB,12.0,21.0,7.0,28.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lamar-jackson-2.html,2019,Nebraska,Big Ten,SR,CB,12.0,30.0,10.0,40.0,4.5,1.0,3.0,12.0,4.0,0.0,12.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lamar-jackson-2.html,Career,Nebraska,,,,,92.0,31.0,123.0,7.5,2.0,5.0,12.0,2.4,0.0,22.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/trishton-jackson-1.html,2016,Michigan State,Big Ten,FR,WR,4.0,,,,,,,,,,,,,,,1.0,-1.0,-1.0,0.0,5.0,89.0,17.8,1.0,6.0,88.0,14.7,1.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/trishton-jackson-1.html,*2017,Michigan State,Big Ten,SO,WR,6.0,,,,,,,,,,,,,,,1.0,-5.0,-5.0,0.0,12.0,143.0,11.9,0.0,13.0,138.0,10.6,0.0,,,,,,,,,1.0,1.0,100.0,5.0,5.0,5.0,0.0,0.0,142.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/trishton-jackson-1.html,*2018,Syracuse,ACC,JR,WR,1.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,3.0,27.0,9.0,1.0,3.0,27.0,9.0,1.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/trishton-jackson-1.html,2019,Syracuse,ACC,JR,WR,12.0,,,,,,,,,,,,,,,2.0,3.0,1.5,0.0,66.0,1023.0,15.5,11.0,68.0,1026.0,15.1,11.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/trishton-jackson-1.html,Career,Overall,,,,,,,,,,,,,,,,,,,4.0,-3.0,-0.8,0.0,86.0,1282.0,14.9,13.0,90.0,1279.0,14.2,13.0,,,,,,,,,1.0,1.0,100.0,5.0,5.0,5.0,0.0,0.0,142.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/trishton-jackson-1.html,,Michigan State,,,,,,,,,,,,,,,,,,,2.0,-6.0,-3.0,0.0,17.0,232.0,13.6,1.0,19.0,226.0,11.9,1.0,,,,,,,,,1.0,1.0,100.0,5.0,5.0,5.0,0.0,0.0,142.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/trishton-jackson-1.html,,Syracuse,,,,,,,,,,,,,,,,,,,2.0,3.0,1.5,0.0,69.0,1050.0,15.2,12.0,71.0,1053.0,14.8,12.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,
