NCAA_Link,Year,School,Conf,Class,Pos,G,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF
https://www.sports-reference.com/cfb/players/casey-roussel-1.html,1999,Tulane,CUSA,,P,11.0,55.0,2429.0,44.2,,,,,,,,1.0,-10.0,-10.0,0.0,,,,,1.0,-10.0,-10.0,0.0,,,,,,,,,1.0,1.0,100.0,28.0,28.0,28.0,0.0,0.0,335.2,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/casey-roussel-1.html,2000,Tulane,CUSA,JR,P,11.0,59.0,2609.0,44.2,,,,,,,,1.0,-4.0,-4.0,0.0,,,,,1.0,-4.0,-4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/casey-roussel-1.html,2001,Tulane,CUSA,SR,P,12.0,64.0,2764.0,43.2,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/casey-roussel-1.html,Career,Tulane,,,,,178.0,7802.0,43.8,,,,,,,,2.0,-14.0,-7.0,0.0,,,,,2.0,-14.0,-7.0,0.0,,,,,,,,,1.0,2.0,50.0,28.0,14.0,14.0,0.0,0.0,167.6,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/robert-royal-1.html,1999,LSU,SEC,,RB,10.0,,,,,,,,,,,,,,,19.0,143.0,7.5,1.0,19.0,143.0,7.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/robert-royal-1.html,2000,LSU,SEC,SR,TE,11.0,,,,,,,,,,,,,,,22.0,340.0,15.5,5.0,22.0,340.0,15.5,5.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/robert-royal-1.html,2001,LSU,SEC,SR,TE,12.0,,,,,,,,,,,,,,,18.0,224.0,12.4,1.0,18.0,224.0,12.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/robert-royal-1.html,Career,LSU,,,,,,,,,,,,,,,,,,,59.0,707.0,12.0,7.0,59.0,707.0,12.0,7.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mike-rumph-1.html,1998,Miami (FL),Big East,,DB,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,
https://www.sports-reference.com/cfb/players/mike-rumph-1.html,1999,Miami (FL),Big East,,DB,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,-3.0,-0.8,0.0,,,,,
