NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD
https://www.sports-reference.com/cfb/players/gerald-hodges-1.html,*2009,Penn State,Big Ten,FR,DB,8.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0
https://www.sports-reference.com/cfb/players/gerald-hodges-1.html,*2010,Penn State,Big Ten,SO,DB,8.0,15.0,16.0,31.0,2.5,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0
https://www.sports-reference.com/cfb/players/gerald-hodges-1.html,*2011,Penn State,Big Ten,JR,DB,13.0,60.0,46.0,106.0,10.0,4.5,1.0,63.0,63.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/gerald-hodges-1.html,2012,Penn State,Big Ten,SR,DB,12.0,45.0,64.0,109.0,8.5,1.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-1.0,-0.5,0.0,1.0,12.0,12.0,0.0
https://www.sports-reference.com/cfb/players/gerald-hodges-1.html,Career,Penn State,,,,,123.0,126.0,249.0,21.0,5.5,3.0,63.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-1.0,-0.5,0.0,1.0,12.0,12.0,0.0
https://www.sports-reference.com/cfb/players/devonte-holloman-1.html,*2009,South Carolina,SEC,FR,DB,13.0,19.0,11.0,30.0,1.0,0.0,1.0,54.0,54.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/devonte-holloman-1.html,*2010,South Carolina,SEC,SO,DB,14.0,53.0,16.0,69.0,2.0,0.0,2.0,13.0,6.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/devonte-holloman-1.html,*2011,South Carolina,SEC,JR,DB,11.0,33.0,18.0,51.0,4.0,0.0,1.0,26.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/devonte-holloman-1.html,*2012,South Carolina,SEC,SR,DB,13.0,37.0,20.0,57.0,8.0,2.0,3.0,25.0,8.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/devonte-holloman-1.html,Career,South Carolina,,,,,142.0,65.0,207.0,15.0,2.0,7.0,118.0,16.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
