NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/jr-tolver-1.html,2000,San Diego State,MWC,SO,WR,11.0,62.0,808.0,13.0,1.0,,,,,62.0,808.0,13.0,1.0,2.0,33.0,16.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jr-tolver-1.html,2001,San Diego State,MWC,JR,WR,11.0,63.0,878.0,13.9,2.0,2.0,-6.0,-3.0,0.0,65.0,872.0,13.4,2.0,1.0,33.0,33.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jr-tolver-1.html,2002,San Diego State,MWC,SR,WR,13.0,128.0,1785.0,13.9,13.0,6.0,40.0,6.7,1.0,134.0,1825.0,13.6,14.0,,,,,2.0,5.0,2.5,0.0,,,,,,,,,,,,,,,1.0,3.0,33.3,87.0,29.0,29.0,0.0,0.0,276.9,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jr-tolver-1.html,Career,San Diego State,,,,,262.0,3572.0,13.6,18.0,8.0,34.0,4.3,1.0,270.0,3606.0,13.4,19.0,3.0,66.0,22.0,0.0,2.0,5.0,2.5,0.0,,,,,,,,,,,,,,,1.0,3.0,33.3,87.0,29.0,29.0,0.0,0.0,276.9,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcus-trufant-1.html,1999,Washington State,Pac-10,,DB,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,48.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcus-trufant-1.html,2000,Washington State,Pac-10,SO,DB,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,2.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcus-trufant-1.html,*2001,Washington State,Pac-10,JR,DB,7.0,,,,,,,,,,,,,,,,,7.0,47.0,6.7,0.0,,,,,,3.0,51.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcus-trufant-1.html,*2002,Washington State,Pac-10,SR,DB,13.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,38.0,402.0,10.6,0.0,,,,,,3.0,33.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/marcus-trufant-1.html,Career,Washington State,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,45.0,449.0,10.0,0.0,,,,,,11.0,139.0,12.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bj-tucker-1.html,*2002,Wisconsin,Big Ten,SR,DB,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,67.0,13.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,
