NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate
https://www.sports-reference.com/cfb/players/nate-poole-1.html,*1997,Marshall,MAC,,WR,13.0,,,,,,,,,,,,,,,5.0,138.0,27.6,0.0,,,,,3.0,11.0,3.7,1.0,26.0,258.0,9.9,2.0,29.0,269.0,9.3,3.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nate-poole-1.html,*1998,Marshall,MAC,,WR,13.0,,,,,,,,,,,,,,,2.0,53.0,26.5,0.0,2.0,13.0,6.5,0.0,2.0,-5.0,-2.5,0.0,48.0,616.0,12.8,3.0,50.0,611.0,12.2,3.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nate-poole-1.html,1999,Marshall,MAC,,WR,12.0,,,,,,,,,,,,,,,,,,,,,,,6.0,40.0,6.7,0.0,71.0,1122.0,15.8,9.0,77.0,1162.0,15.1,9.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nate-poole-1.html,2000,Marshall,MAC,SR,WR,12.0,,,,,,,,,,,,,,,,,,,,,,,1.0,-4.0,-4.0,0.0,70.0,818.0,11.7,4.0,71.0,814.0,11.5,4.0,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/nate-poole-1.html,Career,Marshall,,,,,,,,,,,,,,,,,,,7.0,191.0,27.3,0.0,2.0,13.0,6.5,0.0,12.0,42.0,3.5,1.0,215.0,2814.0,13.1,18.0,227.0,2856.0,12.6,19.0,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/ken-yon-rambo-1.html,*1997,Ohio State,Big Ten,,WR,13.0,,,,,,,,,,,,,,,4.0,100.0,25.0,0.0,,,,,2.0,0.0,0.0,0.0,7.0,145.0,20.7,1.0,9.0,145.0,16.1,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ken-yon-rambo-1.html,*1998,Ohio State,Big Ten,,WR,10.0,,,,,,,,,,,,,,,12.0,237.0,19.8,0.0,19.0,128.0,6.7,0.0,,,,,5.0,77.0,15.4,0.0,5.0,77.0,15.4,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ken-yon-rambo-1.html,1999,Ohio State,Big Ten,,WR,12.0,,,,,,,,,,,,,,,31.0,653.0,21.1,0.0,3.0,20.0,6.7,0.0,5.0,34.0,6.8,0.0,41.0,833.0,20.3,6.0,46.0,867.0,18.8,6.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ken-yon-rambo-1.html,*2000,Ohio State,Big Ten,SR,WR,12.0,,,,,,,,,,,,,,,17.0,478.0,28.1,0.0,1.0,-3.0,-3.0,0.0,6.0,19.0,3.2,0.0,53.0,794.0,15.0,2.0,59.0,813.0,13.8,2.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ken-yon-rambo-1.html,Career,Ohio State,,,,,,,,,,,,,,,,,,,64.0,1468.0,22.9,0.0,23.0,145.0,6.3,0.0,13.0,53.0,4.1,0.0,106.0,1849.0,17.4,9.0,119.0,1902.0,16.0,9.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jamie-rheem-1.html,1996,Kansas State,Big 12,,K,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,43.0,100.0,4.0,8.0,50.0,55.0,,,,,,,,,
https://www.sports-reference.com/cfb/players/jamie-rheem-1.html,1997,Kansas State,Big 12,,K,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,100.0,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jamie-rheem-1.html,1999,Kansas State,Big 12,,K,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,43.0,95.3,18.0,21.0,85.7,95.0,,,,,,,,,
