NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Punts,Punt_Yds,Punt_Avg
https://www.sports-reference.com/cfb/players/kelvin-benjamin-1.html,Career,Florida State,,,,,84.0,1506.0,17.9,19.0,2.0,33.0,16.5,0.0,86.0,1539.0,17.9,19.0,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bene-benwikere-1.html,2010,San Jose State,WAC,FR,DB,13.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,39.0,35.0,74.0,1.5,0.0,1.0,25.0,25.0,0.0,3.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bene-benwikere-1.html,2011,San Jose State,WAC,SO,DB,10.0,1.0,11.0,11.0,0.0,,,,,1.0,11.0,11.0,0.0,,,,,,,,,9.0,9.0,18.0,0.5,0.0,1.0,3.0,3.0,0.0,3.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bene-benwikere-1.html,*2012,San Jose State,WAC,JR,DB,13.0,,,,,,,,,0.0,0.0,,0.0,1.0,24.0,24.0,0.0,,,,,44.0,23.0,67.0,7.5,0.0,7.0,152.0,21.7,1.0,,,37.0,1.0,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bene-benwikere-1.html,2013,San Jose State,MWC,SR,CB,11.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,39.0,17.0,56.0,2.0,1.0,5.0,33.0,6.6,0.0,11.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bene-benwikere-1.html,Career,San Jose State,,,,,1.0,11.0,11.0,0.0,0.0,0.0,,0.0,1.0,11.0,11.0,0.0,2.0,25.0,12.5,0.0,0.0,0.0,,0.0,131.0,84.0,215.0,11.5,1.0,14.0,213.0,15.2,1.0,17.0,1.0,37.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nat-berhe-1.html,*2010,San Diego State,MWC,FR,DB,12.0,,,,,,,,,,,,,,,,,,,,,26.0,13.0,39.0,1.0,0.0,1.0,10.0,10.0,0.0,4.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nat-berhe-1.html,*2011,San Diego State,MWC,SO,DB,13.0,,,,,,,,,,,,,,,,,,,,,43.0,24.0,67.0,3.5,0.0,2.0,1.0,0.5,0.0,5.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nat-berhe-1.html,*2012,San Diego State,MWC,JR,DB,13.0,,,,,,,,,,,,,,,,,,,,,68.0,26.0,94.0,2.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nat-berhe-1.html,*2013,San Diego State,MWC,SR,DB,13.0,,,,,,,,,,,,,,,,,,,,,60.0,39.0,99.0,5.5,1.0,0.0,0.0,,0.0,6.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nat-berhe-1.html,Career,San Diego State,,,,,,,,,,,,,,,,,,,,,,,,,197.0,102.0,299.0,12.0,1.0,5.0,11.0,2.2,0.0,15.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kapri-bibbs-1.html,*2013,Colorado State,MWC,SO,RB,14.0,8.0,59.0,7.4,0.0,281.0,1741.0,6.2,31.0,289.0,1800.0,6.2,31.0,,,,,,,,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kapri-bibbs-1.html,Career,Colorado State,,,,,8.0,59.0,7.4,0.0,281.0,1741.0,6.2,31.0,289.0,1800.0,6.2,31.0,,,,,,,,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/joel-bitonio-1.html,*2010,Nevada,WAC,FR,OL,14.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/joel-bitonio-1.html,*2012,Nevada,MWC,JR,OL,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/joel-bitonio-1.html,2013,Nevada,MWC,SR,OL,1.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/joel-bitonio-1.html,Career,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rob-blanchflower-1.html,2012,Massachusetts,MAC,JR,TE,10.0,43.0,464.0,10.8,2.0,,,,,43.0,464.0,10.8,2.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rob-blanchflower-1.html,2013,Massachusetts,MAC,SR,TE,5.0,27.0,313.0,11.6,3.0,1.0,3.0,3.0,0.0,28.0,316.0,11.3,3.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
