NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/jason-avant-1.html,*2002,Michigan,Big Ten,FR,WR,12.0,,,,,,,,,,,,,,,,,,,2.0,21.0,10.5,0.0,2.0,21.0,10.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jason-avant-1.html,*2003,Michigan,Big Ten,SO,WR,12.0,,,,,,,,,,,,,,,,,,,47.0,772.0,16.4,2.0,47.0,772.0,16.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jason-avant-1.html,*2004,Michigan,Big Ten,JR,WR,11.0,,,,,,,,,,,,,,,,,,,38.0,447.0,11.8,3.0,38.0,447.0,11.8,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jason-avant-1.html,*2005,Michigan,Big Ten,SR,WR,12.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,82.0,1007.0,12.3,8.0,82.0,1007.0,12.3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jason-avant-1.html,Career,Michigan,,,,,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,169.0,2247.0,13.3,13.0,169.0,2247.0,13.3,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brett-basanez-1.html,2002,Northwestern,Big Ten,FR,QB,10.0,,,,,,,,,,,,,,,67.0,96.0,1.4,4.0,,,,,67.0,96.0,1.4,4.0,,,,,,,,,190.0,325.0,58.5,2204.0,6.8,6.2,7.0,7.0,118.2,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brett-basanez-1.html,*2003,Northwestern,Big Ten,SO,QB,13.0,,,,,,,,,,,,,,,128.0,219.0,1.7,2.0,,,,,128.0,219.0,1.7,2.0,,,,,,,,,162.0,302.0,53.6,1916.0,6.3,4.8,4.0,12.0,103.4,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brett-basanez-1.html,2004,Northwestern,Big Ten,JR,QB,12.0,,,,,,,,,,,,,,,83.0,258.0,3.1,5.0,,,,,83.0,258.0,3.1,5.0,,,,,,,,,247.0,460.0,53.7,2838.0,6.2,5.8,12.0,9.0,110.2,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brett-basanez-1.html,*2005,Northwestern,Big Ten,SR,QB,12.0,,,,,,,,,,,,,,,113.0,423.0,3.7,7.0,,,,,113.0,423.0,3.7,7.0,,,,,,,,,314.0,497.0,63.2,3622.0,7.3,7.4,21.0,8.0,135.1,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brett-basanez-1.html,Career,Northwestern,,,,,,,,,,,,,,,,,,,391.0,996.0,2.5,18.0,,,,,391.0,996.0,2.5,18.0,,,,,,,,,913.0,1584.0,57.6,10580.0,6.7,6.2,44.0,36.0,118.4,,,,,,,,,,
https://www.sports-reference.com/cfb/players/hank-baskett-1.html,2002,New Mexico,MWC,FR,WR,6.0,,,,,,,,,,,,,,,,,,,2.0,21.0,10.5,2.0,2.0,21.0,10.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/hank-baskett-1.html,*2003,New Mexico,MWC,SO,WR,13.0,,,,,,,,,,,,,,,,,,,17.0,288.0,16.9,3.0,17.0,288.0,16.9,3.0,1.0,10.0,10.0,0.0,1.0,25.0,25.0,0.0,1.0,2.0,50.0,46.0,23.0,0.5,0.0,1.0,143.2,,,,,,,,,,
https://www.sports-reference.com/cfb/players/hank-baskett-1.html,*2004,New Mexico,MWC,JR,WR,12.0,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,54.0,908.0,16.8,3.0,55.0,910.0,16.5,3.0,,,,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/hank-baskett-1.html,2005,New Mexico,MWC,SR,WR,11.0,,,,,,,,,,,,,,,,,,,67.0,1071.0,16.0,9.0,67.0,1071.0,16.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/hank-baskett-1.html,Career,New Mexico,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,140.0,2288.0,16.3,17.0,141.0,2290.0,16.2,17.0,1.0,10.0,10.0,0.0,1.0,25.0,25.0,0.0,1.0,4.0,25.0,46.0,11.5,0.3,0.0,1.0,71.6,,,,,,,,,,
https://www.sports-reference.com/cfb/players/danny-baugher-1.html,2002,Arizona,Pac-10,FR,P,12.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,38.0,1434.0,37.7,,,,,,,
https://www.sports-reference.com/cfb/players/danny-baugher-1.html,2003,Arizona,Pac-10,SO,P,12.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,76.0,3238.0,42.6,,,,,,,
https://www.sports-reference.com/cfb/players/danny-baugher-1.html,2004,Arizona,Pac-10,JR,P,11.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,3046.0,41.2,,,,,,,
https://www.sports-reference.com/cfb/players/danny-baugher-1.html,2005,Arizona,Pac-10,SR,P,7.0,,,,,,,,,,,,,,,1.0,39.0,39.0,0.0,,,,,1.0,39.0,39.0,0.0,,,,,,,,,,,,,,,,,,37.0,1758.0,47.5,,,,,,,
https://www.sports-reference.com/cfb/players/danny-baugher-1.html,Career,Arizona,,,,,,,,,,,,,,,,,,,1.0,39.0,39.0,0.0,,,,,1.0,39.0,39.0,0.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,9476.0,42.1,,,,,,,
https://www.sports-reference.com/cfb/players/mike-bell-1.html,2002,Arizona,Pac-10,FR,RB,12.0,,,,,,,,,,,,,,,106.0,341.0,3.2,1.0,13.0,136.0,10.5,1.0,119.0,477.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mike-bell-1.html,2003,Arizona,Pac-10,SO,RB,12.0,,,,,,,,,,,,,,,168.0,920.0,5.5,6.0,6.0,53.0,8.8,0.0,174.0,973.0,5.6,6.0,,,,,,,,,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mike-bell-1.html,2004,Arizona,Pac-10,JR,RB,11.0,,,,,,,,,,,,,,,205.0,941.0,4.6,5.0,19.0,79.0,4.2,0.0,224.0,1020.0,4.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mike-bell-1.html,2005,Arizona,Pac-10,SR,RB,11.0,,,,,,,,,,,,,,,200.0,952.0,4.8,5.0,18.0,197.0,10.9,0.0,218.0,1149.0,5.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/mike-bell-1.html,Career,Arizona,,,,,,,,,,,,,,,,,,,679.0,3154.0,4.6,17.0,56.0,465.0,8.3,1.0,735.0,3619.0,4.9,18.0,,,,,,,,,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/charles-bennett-1.html,2004,Clemson,ACC,JR,DL,11.0,,,,,,2.0,43.0,21.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/charles-bennett-1.html,*2005,Clemson,ACC,SR,DL,12.0,29.0,14.0,43.0,14.5,4.0,1.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/charles-bennett-1.html,Career,Clemson,,,,,29.0,14.0,43.0,14.5,4.0,3.0,48.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-bernstein-1.html,*2002,Wisconsin,Big Ten,SO,RB,14.0,,,,,,,,,,,,,,,20.0,66.0,3.3,3.0,5.0,34.0,6.8,0.0,25.0,100.0,4.0,3.0,2.0,20.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-bernstein-1.html,*2003,Wisconsin,Big Ten,SO,RB,13.0,,,,,,,,,,,,,,,29.0,120.0,4.1,0.0,8.0,79.0,9.9,0.0,37.0,199.0,5.4,0.0,5.0,60.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-bernstein-1.html,*2004,Wisconsin,Big Ten,JR,RB,12.0,,,,,,,,,,,,,,,83.0,300.0,3.6,1.0,9.0,68.0,7.6,0.0,92.0,368.0,4.0,1.0,2.0,5.0,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-bernstein-1.html,*2005,Wisconsin,Big Ten,SR,RB,5.0,,,,,,,,,,,,,,,6.0,22.0,3.7,1.0,,,,,6.0,22.0,3.7,1.0,1.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/matt-bernstein-1.html,Career,Wisconsin,,,,,,,,,,,,,,,,,,,138.0,508.0,3.7,5.0,22.0,181.0,8.2,0.0,160.0,689.0,4.3,5.0,10.0,90.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/troy-bienemann-1.html,*2002,Washington State,Pac-10,SO,TE,13.0,,,,,,,,,,,,,,,,,,,15.0,233.0,15.5,1.0,15.0,233.0,15.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/troy-bienemann-1.html,*2003,Washington State,Pac-10,JR,TE,12.0,,,,,,,,,,,,,,,,,,,29.0,273.0,9.4,2.0,29.0,273.0,9.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/troy-bienemann-1.html,2004,Washington State,Pac-10,SR,TE,11.0,,,,,,,,,,,,,,,,,,,26.0,288.0,11.1,2.0,26.0,288.0,11.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
