NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/navorro-bowman-1.html,*2007,Penn State,Big Ten,FR,LB,9.0,,,,,,,,,,,,,4.0,12.0,16.0,2.5,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/navorro-bowman-1.html,*2008,Penn State,Big Ten,SO,LB,13.0,,,,,,,,,,,,,61.0,45.0,106.0,16.5,4.0,1.0,29.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/navorro-bowman-1.html,*2009,Penn State,Big Ten,JR,LB,11.0,,,,,,,,,,,,,52.0,41.0,93.0,17.0,3.0,2.0,86.0,43.0,1.0,,,91.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/navorro-bowman-1.html,Career,Penn State,,,,,,,,,,,,,,,,,117.0,98.0,215.0,36.0,8.0,3.0,115.0,38.3,1.0,1.0,0.0,91.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/sam-bradford-1.html,*2007,Oklahoma,Big 12,FR,QB,14.0,,,,,31.0,7.0,0.2,0.0,31.0,7.0,0.2,0.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,237.0,341.0,69.5,3121.0,9.2,10.2,36.0,8.0,176.5,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/sam-bradford-1.html,*2008,Oklahoma,Big 12,SO,QB,14.0,,,,,42.0,47.0,1.1,5.0,42.0,47.0,1.1,5.0,,,,,,,,,,,,,,,328.0,483.0,67.9,4720.0,9.8,11.1,50.0,8.0,180.8,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/sam-bradford-1.html,*2009,Oklahoma,Big 12,JR,QB,3.0,,,,,4.0,-18.0,-4.5,0.0,4.0,-18.0,-4.5,0.0,,,,,,,,,,,,,,,39.0,69.0,56.5,562.0,8.1,8.7,2.0,0.0,134.5,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/sam-bradford-1.html,Career,Oklahoma,,,,,,,,,77.0,36.0,0.5,5.0,77.0,36.0,0.5,5.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,604.0,893.0,67.6,8403.0,9.4,10.6,88.0,16.0,175.6,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dezmon-briscoe-1.html,*2007,Kansas,Big 12,FR,WR,13.0,43.0,496.0,11.5,7.0,,,,,43.0,496.0,11.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dezmon-briscoe-1.html,*2008,Kansas,Big 12,SO,WR,13.0,92.0,1407.0,15.3,15.0,2.0,18.0,9.0,0.0,94.0,1425.0,15.2,15.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,8.0,219.0,27.4,0.0,,,,,,,,,,
