NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/donnie-avery-1.html,Career,Houston,,,,,7.0,0.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,210.0,3289.0,15.7,19.0,210.0,3289.0,15.7,19.0,40.0,896.0,22.4,1.0,3.0,28.0,9.3,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cliff-avril-1.html,2005,Purdue,Big Ten,SO,LB,10.0,21.0,12.0,33.0,2.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cliff-avril-1.html,*2006,Purdue,Big Ten,JR,LB,14.0,51.0,33.0,84.0,15.0,6.0,1.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cliff-avril-1.html,*2007,Purdue,Big Ten,SR,LB,13.0,32.0,8.0,40.0,15.0,6.5,1.0,43.0,43.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/cliff-avril-1.html,Career,Purdue,,,,,104.0,53.0,157.0,32.5,12.5,2.0,48.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kentwan-balmer-1.html,2005,North Carolina,ACC,SO,DL,11.0,8.0,9.0,17.0,5.0,1.0,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kentwan-balmer-1.html,2006,North Carolina,ACC,JR,DL,10.0,13.0,3.0,16.0,2.5,2.5,,,,,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kentwan-balmer-1.html,2007,North Carolina,ACC,SR,DL,12.0,32.0,27.0,59.0,9.5,3.5,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kentwan-balmer-1.html,Career,North Carolina,,,,,53.0,39.0,92.0,17.0,7.0,,,,,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dominique-barber-1.html,*2005,Minnesota,Big Ten,SO,DB,12.0,10.0,3.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,,,,,,,,,,
