NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/alfred-morris-1.html,Career,Florida Atlantic,,,,,10.0,3.0,13.0,0.0,0.0,,,,,0.0,0.0,,,0.0,30.0,300.0,10.0,4.0,733.0,3529.0,4.8,27.0,763.0,3829.0,5.0,31.0,,,,,2.0,14.0,7.0,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brandon-mosley-2.html,*2010,Auburn,SEC,JR,OL,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brandon-mosley-2.html,*2011,Auburn,SEC,SR,OL,13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brandon-mosley-2.html,Career,Auburn,,,,,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/derek-moye-1.html,*2008,Penn State,Big Ten,SO,WR,10.0,,,,,,,,,,,,,,,3.0,71.0,23.7,1.0,,,,,3.0,71.0,23.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/derek-moye-1.html,*2009,Penn State,Big Ten,SO,WR,13.0,,,,,,,,,,,,,,,48.0,785.0,16.4,6.0,1.0,-3.0,-3.0,0.0,49.0,782.0,16.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/derek-moye-1.html,*2010,Penn State,Big Ten,JR,WR,13.0,3.0,0.0,3.0,0.0,0.0,,,,,,,,,,53.0,885.0,16.7,8.0,2.0,39.0,19.5,0.0,55.0,924.0,16.8,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/derek-moye-1.html,*2011,Penn State,Big Ten,SR,WR,11.0,2.0,2.0,4.0,0.0,0.0,,,,,,,,,,40.0,654.0,16.4,3.0,2.0,8.0,4.0,0.0,42.0,662.0,15.8,3.0,4.0,64.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/derek-moye-1.html,Career,Penn State,,,,,5.0,2.0,7.0,0.0,0.0,,,,,,,,,,144.0,2395.0,16.6,18.0,5.0,44.0,8.8,0.0,149.0,2439.0,16.4,18.0,4.0,64.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tyler-nielsen-1.html,*2008,Iowa,Big Ten,FR,LB,13.0,6.0,6.0,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tyler-nielsen-1.html,*2009,Iowa,Big Ten,SO,LB,13.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tyler-nielsen-1.html,*2010,Iowa,Big Ten,JR,LB,8.0,22.0,20.0,42.0,4.5,0.0,1.0,0.0,0.0,0.0,4.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tyler-nielsen-1.html,*2011,Iowa,Big Ten,SR,LB,12.0,34.0,39.0,73.0,4.0,1.0,0.0,0.0,,0.0,0.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tyler-nielsen-1.html,Career,Iowa,,,,,66.0,68.0,134.0,8.5,1.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
