NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/justin-brantly-1.html,Career,Texas A&M,,,,,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,-11.0,-3.7,0.0,3.0,-11.0,-3.7,0.0,,,,,,,,,,203.0,9010.0,44.4,,,,,,,
https://www.sports-reference.com/cfb/players/travis-bright-1.html,*2007,Brigham Young,MWC,JR,OL,13.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/travis-bright-1.html,*2008,Brigham Young,MWC,SR,OL,13.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/travis-bright-1.html,Career,Brigham Young,,,,,2.0,0.0,2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jasper-brinkley-1.html,*2006,South Carolina,SEC,JR,LB,13.0,85.0,22.0,107.0,14.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jasper-brinkley-1.html,2007,South Carolina,SEC,SR,LB,4.0,15.0,6.0,21.0,1.0,0.0,2.0,40.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jasper-brinkley-1.html,*2008,South Carolina,SEC,SR,LB,13.0,42.0,23.0,65.0,5.0,2.5,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jasper-brinkley-1.html,Career,South Carolina,,,,,142.0,51.0,193.0,20.0,7.5,3.0,40.0,13.3,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kenny-britt-1.html,*2006,Rutgers,Big East,FR,WR,9.0,,,,,,,,,,,,,,,,,,,,,,,29.0,440.0,15.2,2.0,,,,,29.0,440.0,15.2,2.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kenny-britt-1.html,*2007,Rutgers,Big East,SO,WR,13.0,,,,,,,,,,,,,,,,,,,,,,,62.0,1232.0,19.9,8.0,,,,,62.0,1232.0,19.9,8.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kenny-britt-1.html,*2008,Rutgers,Big East,JR,WR,12.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,87.0,1371.0,15.8,7.0,7.0,75.0,10.7,1.0,94.0,1446.0,15.4,8.0,1.0,1.0,100.0,28.0,28.0,28.0,0.0,0.0,335.2,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kenny-britt-1.html,Career,Rutgers,,,,,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,178.0,3043.0,17.1,17.0,7.0,75.0,10.7,1.0,185.0,3118.0,16.9,18.0,1.0,1.0,100.0,28.0,28.0,28.0,0.0,0.0,335.2,,,,,,,,,,
https://www.sports-reference.com/cfb/players/eben-britton-1.html,2007,Arizona,Pac-10,SO,OL,12.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/eben-britton-1.html,Career,Arizona,,,,,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/everette-brown-1.html,*2006,Florida State,ACC,FR,DL,13.0,16.0,11.0,27.0,13.5,3.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
