Combine_Year,Player_ID,Top_Talent,Rnd,Round_Cat,Pick,Draft_Team,Player,AV,Exp_AV,Success,Class,Underclassman,Pos,Pos_Group,Pos_Type,Draft_age,School,Conf,Power_Conf,Ht,Wt,BMI,Arm_length,Hand_size,40yd,Speed_Score,HASS,Vertical,Vertical_Jump_Power,Bench,Bench_Diff,BroadJump,Broad_Jump_Power,3Cone,Shuttle,Quix_Score,School_Off_Rnk,School_Def_Rnk,School_Off_Rating,School_Def_Rating,School_Rating,Consensus_AA,Dominator_Rating_Prior,Dominator_Rating_Draft,Non_offensive_TD_PG_Prior,Non_offensive_TD_PG_Draft,Adj_Def_Solo_Tackles_PG_Prior,Adj_Def_Solo_Tackles_PG_Draft,Adj_Def_Ast_Tackles_PG_Prior,Adj_Def_Ast_Tackles_PG_Draft,Adj_Def_Tot_Tackles_PG_Prior,Adj_Def_Tot_Tackles_PG_Draft,Adj_Def_Loss_Tackles_PG_Prior,Adj_Def_Loss_Tackles_PG_Draft,Adj_Def_Sk_PG_Prior,Adj_Def_Sk_PG_Draft,Adj_Def_Int_PG_Prior,Adj_Def_Int_PG_Draft,Adj_Def_PD_PG_Prior,Adj_Def_PD_PG_Draft,Adj_Def_FF_PG_Prior,Adj_Def_FF_PG_Draft,Adj_Def_FR_PG_Prior,Adj_Def_FR_PG_Draft,Adj_Def_Int_TD_PG_Prior,Adj_Def_Int_TD_PG_Draft,Adj_Def_TD_Fumbles_PG_Prior,Adj_Def_TD_Fumbles_PG_Draft
2019,cameron-smith-3,0,5,Rounds 4-7,162,MIN,Cameron Smith,0,2.8,Bust,SR,0,ILB,LB,Defense,22,USC,Pac-12,1,74,238,30.55,32.375,10.375,4.69,98.38,99.39,39,8847.47,15,-3.9,123,21798.42,NULL,4.23,NULL,92,65,0.55,1.68,2.22,0,0,0,0,0,3.81,5.8,3.09,2.3,6.9,8.1,0.44,0.75,0.06,0.1,0.11,0,0.25,0.39,0.02,0,0.08,0,0.03,0,0,0
2017,cameron-sutton-1,1,3,Rounds 1-3,94,PIT,Cameron Sutton,4,7.4,Bust,SR,0,CB,DB,Defense,22,Tennessee,SEC,1,71,188,26.22,30,8.25,4.52,90.08,85.52,34,7049.36,11,-4,120,20308.67,6.81,NULL,NULL,24,70,11.58,-0.99,10.59,0,0,0,0.08,0,2.37,2.3,0.31,0.48,2.68,2.78,0.28,0.24,0.03,0,0.16,0.13,0.7,0.52,0.07,0,0.06,0,0.03,0,0,0
2006,cameron-vaughn-1,0,8,Undrafted,999,Undrafted,Cameron Vaughn,NULL,NULL,Success,SR,0,OLB,LB,Defense,NULL,LSU,SEC,1,76,235,28.6,33.5,9.25,4.65,100.53,105.7,32,7706.59,17,-0.1,117,20811.72,7.24,4.22,95.37,43,3,4.35,9.83,14.18,0,0,0,0,0,0,2.58,0,2.65,0,5.23,0,0.35,0,0.07,0,0,0,0.07,0,0,0.09,0,0,0,0.09,0
2012,cam-johnson-1,0,7,Rounds 4-7,237,SFO,Cam Johnson,5,0.1,Success,SR,0,DE,DL,Defense,22,Virginia,ACC,1,75,268,33.49,33.5,9,4.75,105.29,108.53,35,8847.08,NULL,NULL,105,19639.54,7.2,4.38,104.33,86,47,-2.81,2.95,0.14,0,0,0,0,0,1.65,1.22,1.2,1.22,2.85,2.43,0.63,0.89,0.27,0.32,0,0,0.22,0.08,0.05,0.16,0.03,0.08,0,0,0,0
2010,cam-thomas-1,0,5,Rounds 4-7,146,SDG,Cam Thomas,16,3.7,Success,SR,0,DT,DL,Defense,23,North Carolina,ACC,1,76,330,40.16,NULL,NULL,5.16,93.1,97.89,29,9195.75,31,2.2,102,20450.75,7.68,4.78,95.84,83,14,-0.8,8.84,8.04,0,0,0,0,0,0.9,0.78,0.69,1.01,1.59,1.79,0.17,0.19,0.11,0,0,0,0,0,0.04,0,0,0.08,0,0,0,0.08
2009,captain-munnerlyn-1,0,7,Rounds 4-7,216,CAR,Captain Munnerlyn,35,0.4,Success,JR,1,CB,DB,Defense,21,South Carolina,SEC,1,68,182,27.67,NULL,NULL,4.41,96.24,85.64,37.5,7465.72,19,2.5,121,20339.59,7.15,4.2,76.77,96,31,-1.89,7.1,5.21,0,0,0,0,0,2.83,2.35,0.69,1.21,3.52,3.56,0.08,0.24,0,0.18,0.24,0,0,0,0,0,0,0,0,0,0,0.08
2014,carl-bradford-1,0,4,Rounds 4-7,121,GNB,Carl Bradford,0,5.3,Bust,JR,1,OLB,LB,Defense,22,Arizona State,Pac-12,1,73,250,32.98,30.25,9.5,4.76,97.4,96.4,37.5,8862.73,23,1.8,122,21890.77,7.25,4.3,98.34,10,64,13.67,3.83,17.5,0,0,0,0,0,2.27,3.62,1,1.29,3.27,4.91,0.85,1.53,0.5,0.67,0.04,0.08,0,0.31,0,0.24,0,0,0,0.08,0,0
2015,carl-davis-3,1,3,Rounds 1-3,90,BAL,Carl Davis,7,7.7,Bust,SR,0,DT,DL,Defense,23,Iowa,Big Ten,1,77,320,37.94,34.63,11,5.07,96.86,103.86,33,9607.02,NULL,NULL,103,20399.48,7.91,4.47,95.36,71,50,-0.41,1.79,1.37,0,0,0,0,0,0.28,1.16,0.86,1.83,1.14,2.99,0.1,0.79,0.04,0.18,0,0,0.03,0,0,0,0,0.08,0,0,0,0
2019,carl-granderson-1,0,8,Undrafted,999,Undrafted,Carl Granderson,NULL,NULL,Success,SR,0,DE,DL,Defense,NULL,Wyoming,MWC,0,77,254,30.12,34,9.625,4.79,96.5,103.47,35,8559.46,NULL,NULL,119,21510.41,7.44,4.41,90.17,119,29,-9.14,5.69,-3.45,0,0,0,0,0,1.93,2.43,1.87,1.04,3.8,3.47,0.85,0.65,0.51,0.25,0.06,0.08,0.05,0.17,0.1,0,0.02,0,0,0.08,0.02,0
2010,carl-ihenacho-1,0,8,Undrafted,999,Undrafted,Carl Ihenacho,NULL,NULL,Success,SR,0,OLB,LB,Defense,NULL,San Jose State,WAC,0,74,255,32.74,NULL,NULL,4.86,91.42,92.35,NULL,NULL,20,-1,NULL,NULL,NULL,NULL,NULL,118,109,-12.92,-1.71,-14.63,0,0,0,0,0,1.98,2.82,1.31,2.33,3.29,5.15,0.74,0.74,0.34,0.62,0,0,0.14,0.31,0.11,0.25,0,0,0,0,0,0
