Year,Player_NCAA_ID,NCAA_Link,Rk,Player,School,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts
2000,mike-shafer-1,/cfb/players/mike-shafer-1.html,99,Mike Shafer,Syracuse,Big East,11,35,37,94.6,7,20,35.0,56
2000,golden-whetman-1,/cfb/players/golden-whetman-1.html,100,Golden Whetman,Utah,MWC,11,8,8,100.0,2,11,18.2,14
2001,vladimir-borombozin-1,/cfb/players/vladimir-borombozin-1.html,1,Vladimir Borombozin,New Mexico,MWC,11,31,32,96.9,17,18,94.4,82
2001,seth-marler-1,/cfb/players/seth-marler-1.html,2,Seth Marler,Tulane,CUSA,12,39,40,97.5,15,16,93.8,84
2001,david-hills-1,/cfb/players/david-hills-1.html,3,David Hills,Navy,Ind,10,16,18,88.9,15,16,93.8,61
2001,adam-kiker-1,/cfb/players/adam-kiker-1.html,4,Adam Kiker,North Carolina State,ACC,11,24,27,88.9,13,14,92.9,63
2001,xavier-beitia-1,/cfb/players/xavier-beitia-1.html,5,Xavier Beitia,Florida State,ACC,11,44,48,91.7,13,14,92.9,83
2001,peter-christofilakos-1,/cfb/players/peter-christofilakos-1.html,6,Peter Christofilakos,Illinois,Big Ten,9,25,25,100.0,12,13,92.3,61
2001,nick-setta-1,/cfb/players/nick-setta-1.html,7,Nick Setta,Notre Dame,Ind,11,23,23,100.0,15,17,88.2,68
2001,nicholas-setta-1,/cfb/players/nicholas-setta-1.html,8,Nicholas Setta,Notre Dame,Ind,11,23,23,100.0,15,17,88.2,68
2001,luke-phillips-1,/cfb/players/luke-phillips-1.html,9,Luke Phillips,Oklahoma State,Big 12,11,27,27,100.0,15,17,88.2,72
2001,jarvis-wallum-1,/cfb/players/jarvis-wallum-1.html,10,Jarvis Wallum,Wyoming,MWC,11,17,18,94.4,20,23,87.0,77
2001,brenden-rauh-1,/cfb/players/brenden-rauh-1.html,11,Brenden Rauh,West Virginia,Big East,11,25,25,100.0,13,15,86.7,64
2001,jeff-chandler-1,/cfb/players/jeff-chandler-1.html,12,Jeff Chandler,Florida,SEC,10,46,48,95.8,19,22,86.4,103
2001,zac-derr-1,/cfb/players/zac-derr-1.html,13,Zac Derr,Akron,MAC,11,30,30,100.0,15,18,83.3,75
2001,david-davis-1,/cfb/players/david-davis-1.html,14,David Davis*,USC,Pac-10,12,31,34,91.2,15,18,83.3,76
2001,aaron-hunt-1,/cfb/players/aaron-hunt-1.html,15,Aaron Hunt,Clemson,ACC,11,37,38,97.4,10,12,83.3,67
2001,kevin-miller-1,/cfb/players/kevin-miller-1.html,16,Kevin Miller,East Carolina,CUSA,11,38,40,95.0,14,17,82.4,80
