Year,Player_ID,NCAA_Link,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Team,Round,Pick
2000,DyerDe00,https://www.sports-reference.com/cfb/players/deon-dyer-1.html,Deon Dyer,FB,North Carolina,71,260,4.99,28.0,,104.0,7.88,4.81,Miami Dolphins,4,117
2000,EdwaMa20,https://www.sports-reference.com/cfb/players/mario-edwards-3.html,Mario Edwards,CB,Florida State,72,191,4.46,,,120.0,,,Dallas Cowboys,6,180
2000,,,Chris Edwards,OLB,Georgia Tech,77,226,4.65,,,,,,,999,999
2000,ElliSh00,,Shaun Ellis,DE,Tennessee,76,280,4.85,,,,,,New York Jets,1,12
2000,EngeJo20,https://www.sports-reference.com/cfb/players/john-engelberger-1.html,John Engelberger,DE,Virginia Tech,76,260,4.73,34.0,24.0,115.0,6.95,4.28,San Francisco 49ers,2,35
2000,,,Dwan Epps,ILB,Texas Southern,73,242,4.68,34.5,8.0,,,,,999,999
2000,,,Matt Farmer,WR,Air Force,72,190,4.51,33.0,,108.0,6.63,3.94,,999,999
2000,FarmDa00,https://www.sports-reference.com/cfb/players/danny-farmer-1.html,Danny Farmer,WR,UCLA,75,217,4.58,,,,,,Pittsburgh Steelers,4,103
2000,,,Kevin Feterik,QB,BYU,71,207,4.92,31.0,,106.0,7.3,4.45,,999,999
2000,,,Chafie Fields,WR,Penn State,73,196,4.43,,,,,,,999,999
2000,FielAa20,,Aaron Fields,DE,Troy,76,243,4.76,34.0,22.0,115.0,7.51,4.56,,999,999
2000,FlemZe00,https://www.sports-reference.com/cfb/players/zeron-flemister-1.html,Zeron Flemister,TE,Iowa,76,249,4.72,37.0,14.0,116.0,6.92,4.16,,999,999
2000,FlowEr20,,Erik Flowers,DE,Arizona State,76,271,4.75,33.0,24.0,114.0,7.21,4.15,Buffalo Bills,1,26
2000,FostLa00,https://www.sports-reference.com/cfb/players/larry-foster-1.html,Larry Foster,WR,LSU,70,198,4.55,37.0,,121.0,6.88,4.06,,999,999
2000,,,Derrick Foster,RB,Texas A&M-Kingsville,71,201,4.43,34.5,19.0,117.0,6.84,4.36,,999,999
2000,,,John Frank,DE,Utah,76,280,4.78,37.0,32.0,117.0,7.07,4.27,Philadelphia Eagles,6,178
2000,FranBu00,https://www.sports-reference.com/cfb/players/bubba-franks-1.html,Bubba Franks,TE,Miami (FL),78,265,4.85,,,,,,Green Bay Packers,1,14
2000,FranTo21,,Todd Franz,FS,Tulsa,73,199,4.55,,14.0,,,,Detroit Lions,5,145
2000,FreeAr20,,Arturo Freeman,FS,South Carolina,72,188,4.5,35.5,14.0,124.0,6.91,4.38,Miami Dolphins,5,152
2000,FrisBy20,,Byron Frisch,DE,BYU,76,281,4.73,34.5,31.0,114.0,7.2,4.41,Tennessee Titans,3,93
2000,FulcMo20,https://www.sports-reference.com/cfb/players/mondriel-fulcher-1.html,Mondriel Fulcher,FB,Miami (FL),75,253,4.85,27.0,18.0,116.0,7.46,4.52,Oakland Raiders,7,227
2000,GambTr20,,Trent Gamble,FS,Wyoming,69,186,4.56,37.0,21.0,124.0,6.6,3.9,,999,999
2000,,,Jason Gavadza,TE,Kent State,75,249,4.62,32.5,22.0,113.0,7.15,4.3,Pittsburgh Steelers,6,204
2000,GaylTr00,https://www.sports-reference.com/cfb/players/trevor-gaylor-1.html,Trevor Gaylor,WR,Miami (OH),75,199,4.56,37.5,,121.0,7.03,4.29,San Diego Chargers,4,111
2000,GbajKa20,,Kabeer Gbaja-Biamila,OLB,San Diego State,76,243,4.65,34.0,21.0,120.0,6.9,4.28,Green Bay Packers,5,149
2000,,,Sherrod Gideon,WR,Southern Miss,71,173,4.66,,,,,,New Orleans Saints,6,200
2000,GoldIa00,https://www.sports-reference.com/cfb/players/ian-gold-1.html,Ian Gold,OLB,Michigan,73,221,4.56,33.0,21.0,115.0,6.97,4.19,Denver Broncos,2,40
2000,GoodDw20,,Dwayne Goodrich,CB,Tennessee,71,195,4.45,,,,,,Dallas Cowboys,2,49
2000,,,Lamar Grant,CB,Duke,71,188,4.62,32.0,16.0,117.0,7.3,4.3,,999,999
2000,GranEr20,,Ernest Grant,DT,Ark-Pine Bluff,77,316,5.31,29.5,24.0,98.0,8.0,5.03,Miami Dolphins,6,167
2000,GranDe21,https://www.sports-reference.com/cfb/players/deon-grant-1.html,Deon Grant,SS,Tennessee,74,209,4.5,,15.0,,,,Carolina Panthers,2,57
2000,,,Jonathan Gray,OT,Texas Tech,76,338,5.85,23.0,20.0,94.0,,,,999,999
2000,,,Brian Gray,CB,BYU,73,214,4.94,33.5,19.0,116.0,7.38,4.24,,999,999
2000,,,Mike Green,FS,NW State (LA),72,189,4.53,38.5,,118.0,,4.2,,999,999
2000,GreeMi00,https://www.sports-reference.com/cfb/players/mike-green-4.html,Mike Green,FB,Houston,72,253,4.78,28.5,25.0,108.0,7.08,4.34,Tennessee Titans,7,213
2000,GreeBa20,https://www.sports-reference.com/cfb/players/barrett-green-1.html,Barrett Green,OLB,West Virginia,72,233,4.56,36.0,22.0,120.0,,,Detroit Lions,2,50
2000,GregDa20,,Damian Gregory,DT,Illinois State,74,307,4.87,30.0,27.0,105.0,7.37,4.6,,999,999
2000,GrifCo20,,Cornelius Griffin,DE,Alabama,75,297,4.9,31.0,30.0,111.0,7.63,4.62,New York Giants,2,42
2000,HaggCl20,,Clark Haggans,OLB,Colorado State,75,253,4.97,31.5,20.0,109.0,7.12,4.21,Pittsburgh Steelers,5,137
2000,,,Ricky Hall,WR,Virginia Tech,74,206,4.52,,,,,,,999,999
2000,HallJa21,,James Hall,DE,Michigan,74,271,5.03,32.0,,111.0,7.86,4.51,,999,999
2000,,,Dante' Hall,RB,Texas A&M,68,191,4.44,38.0,18.0,123.0,6.62,3.82,,999,999
2000,HambTr00,https://www.sports-reference.com/cfb/players/troy-hambrick-1.html,Troy Hambrick,RB,South Carolina,72,237,4.66,34.5,21.0,118.0,7.48,4.44,,999,999
2000,HamiJo20,https://www.sports-reference.com/cfb/players/joe-hamilton-1.html,Joe Hamilton,QB,Georgia Tech,70,192,4.81,,,106.0,,,Tampa Bay Buccaneers,7,234
2000,,,Joey Hamilton,WR,Jacksonville State,73,201,4.54,36.0,,116.0,7.57,4.41,,999,999
2000,,,Thomas Hamner,RB,Minnesota,72,197,4.5,32.0,17.0,125.0,6.97,4.07,Philadelphia Eagles,6,171
2000,,,D'Andre Hardeman,FB,Texas A&M,70,238,4.81,30.0,,109.0,7.27,4.36,,999,999
2000,,,Jeff Harris,CB,Georgia,72,190,4.53,34.5,,114.0,6.73,4.25,Miami Dolphins,7,232
2000,HarrAn21,,Antwan Harris,CB,Virginia,69,186,4.34,39.0,16.0,121.0,6.75,4.01,New England Patriots,6,187
2000,HarrLl20,https://www.sports-reference.com/cfb/players/lloyd-harrison-1.html,Lloyd Harrison,CB,North Carolina State,70,190,4.5,37.5,16.0,119.0,7.12,4.25,Washington Redskins,3,64
2000,HayeWi00,https://www.sports-reference.com/cfb/players/windrell-hayes-1.html,Windrell Hayes,WR,USC,71,204,4.5,,,,7.33,4.18,New York Jets,5,143
2000,,,Semisi Heimuli,OG,Texas A&M,73,312,5.4,29.0,20.0,94.0,7.94,4.63,,999,999
2000,HernSt20,,Steve Herndon,OG,Georgia,76,297,5.23,,,,,,,999,999
2000,,,Leroy Hodge,WR,Texas A&M,73,215,4.54,34.5,,116.0,7.14,4.21,,999,999
2000,,,Deone Horinek,P,Colorado State,74,234,,,,,,,,999,999
2000,HovaCh20,,Chris Hovan,DT,Boston Col.,74,305,4.99,30.0,35.0,101.0,6.85,4.16,Minnesota Vikings,1,25
2000,HowaRe21,,Reggie Howard,CB,Memphis,71,190,4.55,,,,,,,999,999
2000,HowaDa21,,Darren Howard,DE,Kansas State,76,281,5.09,29.0,,108.0,7.0,4.32,New Orleans Saints,2,33
2000,,,Ethan Howell,CB,Oklahoma State,71,186,4.56,,16.0,,6.98,4.13,Washington Redskins,7,250
2000,,,Aaron Humphrey,DE,Texas,75,254,5.1,34.0,21.0,119.0,,,,999,999
2000,HusaTo20,https://www.sports-reference.com/cfb/players/todd-husak-1.html,Todd Husak,QB,Stanford,75,216,5.2,27.5,,99.0,7.17,4.41,Washington Redskins,6,202
2000,InslTr00,https://www.sports-reference.com/cfb/players/trevor-insley-1.html,Trevor Insley,WR,Nevada,72,192,4.7,,,,,,,999,999
2000,IoanJu20,,Junior Ioane,DT,Arizona State,75,324,5.12,,,,,,Oakland Raiders,4,107
