Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2000,Keith Jackson,Cheyney (PA),DT,76.3,319,9.75,32.25,,5.21,28,,,9.99,9.99,
2000,Marlion Jackson,Saginaw Valley State (MI),RB,73,242,10,32,,4.65,24,35.5,125,4.14,7.15,11.38
2000,Jeno James,Auburn,OG,75.1,320,10.13,34.88,,5.66,24,25.5,94,5.22,8.51,
2000,Ronney Jenkins,Northern Arizona,RB,70.5,184,8.88,30,,4.51,18,,118,9.99,9.99,
2000,Brandon Jennings,Texas A&M,FS,72.4,198,9,30.75,,4.54,16,38,123,4.14,6.91,11.16
2000,Ryan Johanningmeier,Colorado,OG,77.9,310,10.13,32.25,,5.28,,29,107,4.66,7.9,
2000,Doug Johnson,Florida,QB,74.4,226,9.5,30.5,28,4.95,,29.5,96,9.99,9.99,
2000,Dwight Johnson,Baylor,DT,76,285,9.25,33,,5.03,26,28,105,4.76,7.51,
2000,Eric Johnson,Nebraska,SS,72,215,10,31.25,,4.63,12,38,121,4.17,6.96,11.51
2000,Jerry Johnson,Florida State,DT,72.5,293,10.25,33.75,,5.09,26,28.5,102,9.99,9.99,
2000,Matt Johnson,Brigham Young,OG,76,345,10.25,32.63,,5.6,35,28,99,4.99,8.07,
2000,Dhani Jones,Michigan,OLB,73.1,240,10,32.25,,4.69,29,,,9.99,9.99,
2000,Fred Jones,Colorado,OLB,74,247,9.5,34.5,,4.98,17,32,113,4.39,7.27,11.88
2000,John Jones,Indiana (PA),TE,76.3,248,10,34.5,,4.64,13,38.5,125,4.43,7.33,11.59
2000,Leander Jordan,Indiana (PA),OG,75.9,330,11,35.25,,5.53,25,31,104,4.76,7.91,
2000,Morgan Kane,Wake Forest,RB,72.8,221,10,31,,4.63,29,37.5,121,4.16,6.81,11.38
2000,Curtis Keaton,James Madison (VA),RB,70,214,,,,4.41,23,41.5,131,3.93,6.82,
2000,Tinker Keck,Cincinnati,SS,73.3,200,9.5,29.38,,4.58,15,36.5,120,4.31,6.96,11.51
2000,Sean Keenan,Williams College (MA),QB,75,202,,,32,5.03,,25.5,95,4.41,7.21,
2000,Ben Kelly,Colorado,CB,68.9,183,8.38,28.75,,4.56,17,36,116,3.95,6.63,10.86
2000,Dan Kendra,Florida State,FB,71.9,251,10,31.5,,4.88,24,35,119,9.99,9.99,
2000,Kenoy Kennedy,Arkansas,FS,73,221,,,,4.71,8,33.5,113,4.38,7.08,
2000,Sean Key,Florida State,FS,70.6,188,9.88,32.5,,4.67,,,,4.2,7.12,11.66
2000,Adrian Klemm,Hawaii,OT,75.9,307,9.88,35,,4.98,24,,,9.99,9.99,
2000,Andrew Kline,San Diego State,OG,74.1,305,9.88,31,,5.49,26,28,103,4.6,7.54,
2000,Marcus Knight,Michigan,WR,72.9,180,8.5,30.75,,4.74,,28.5,106,4.38,7.11,11.71
2000,Noel LaMontagne,Virginia,OG,76.1,299,10.75,33,,5.09,21,,,9.99,9.99,
2000,Kareem Larrimore,West Texas A&M,CB,71.1,190,9,30,,4.44,,34,125,9.99,9.99,
2000,Leif Larsen,Texas-El Paso,DT,76.5,300,9.25,32.5,,5.12,45,30,110,4.37,7.46,
2000,Charles Lee,Central Florida,WR,73.5,202,9.25,33.5,,4.6,,35.5,125,4.25,7.3,11.85
2000,Tim Lester,Western Michigan,QB,72.4,202,10,30,26,5.05,,27,97,4.24,7.28,
2000,Jamal Lewis,Tennessee,RB,71.8,240,10.25,32,,4.58,23,,,9.99,9.99,
2000,Al Lucas,Troy (AL),DT,72.6,294,10.38,33,,5.03,28,36,108,4.56,7.44,
