Year,Player_NCAA_ID,NCAA_Link,Rk,Player,School,Conf,G,Punts,Yds,Avg
2015,joseph-roth-1,/cfb/players/joseph-roth-1.html,102,Joseph Roth,Rutgers,Big Ten,12,58,2319,40.0
2015,daniel-pasquariello-1,/cfb/players/daniel-pasquariello-1.html,103,Daniel Pasquariello*,Penn State,Big Ten,11,58,2314,39.9
2015,collin-barber-2,/cfb/players/collin-barber-2.html,104,Collin Barber*,Georgia,SEC,11,41,1637,39.9
2015,ian-wheeler-2,/cfb/players/ian-wheeler-2.html,105,Ian Wheeler*,Oregon,Pac-12,11,50,1992,39.8
2015,tyler-sarrzin-1,/cfb/players/tyler-sarrzin-1.html,106,Tyler Sarrzin*,Southern Mississippi,CUSA,14,45,1789,39.8
2015,brandon-mckee-1,/cfb/players/brandon-mckee-1.html,107,Brandon McKee,South Alabama,Sun Belt,11,39,1554,39.8
2015,drew-meyer-1,/cfb/players/drew-meyer-1.html,108,Drew Meyer*,Wisconsin,Big Ten,13,69,2737,39.7
2015,kyle-schmidt-1,/cfb/players/kyle-schmidt-1.html,109,Kyle Schmidt,Ball State,MAC,12,58,2304,39.7
2015,andy-teasdall-1,/cfb/players/andy-teasdall-1.html,110,Andy Teasdall*,Clemson,ACC,15,67,2647,39.5
2015,yannis-routsas-1,/cfb/players/yannis-routsas-1.html,111,Yannis Routsas,UTSA,CUSA,12,62,2447,39.5
2015,zach-charme-1,/cfb/players/zach-charme-1.html,112,Zach Charme*,Washington State,Pac-12,13,47,1856,39.5
2015,ron-coluzzi-1,/cfb/players/ron-coluzzi-1.html,113,Ron Coluzzi*,Central Michigan,MAC,12,59,2326,39.4
2015,nick-ellis-1,/cfb/players/nick-ellis-1.html,114,Nick Ellis*,Toledo,MAC,12,44,1733,39.4
2015,ethan-perry-1,/cfb/players/ethan-perry-1.html,115,Ethan Perry*,Texas Christian,Big 12,13,66,2571,39.0
2015,ryan-rodwell-1,/cfb/players/ryan-rodwell-1.html,116,Ryan Rodwell,Georgia Tech,ACC,12,46,1793,39.0
